revenue,rating
71143529.0,6.7
120000.0,6.6
0.0,7.801
41424067.0,6.669
5343820.0,5.771
0.0,6.4
0.0,7.8
13831503.0,6.8
5639730.0,6.222
8428636.0,6.909
0.0,6.894
17177993.0,5.1
1185012.0,6.538
156190.0,5.5
0.0,7.0
0.0,5.9
0.0,6.3
83761844.0,5.2
5144717.0,6.7
7871522.0,7.7
45700000.0,6.3
0.0,7.139
94882889.0,6.5
0.0,5.7
0.0,7.8
1671196.0,5.3
0.0,6.9
0.0,6.6
112483764.0,5.2
49830607.0,6.2
0.0,6.6
50507267.0,5.9
60040976.0,6.3
0.0,5.677
0.0,7.3
358399.0,6.7
382879.0,6.0
967000.0,5.4
25806953.0,6.474
34702573.0,7.1
6491240.0,7.0
0.0,7.217
3977192.0,5.8
0.0,4.369
8307227.0,5.9
89137047.0,7.2
25147786.0,7.2
6820000.0,6.6
0.0,7.095
