country,release_year,language,budget,cast_numbers,genre_numbers,director_number,first_genre,month_name,day,mean,std,var,labels
United States of America,2010.0,en,100000000.0,5.0,2.0,1.0,Action,November,4.0,0.0279,0.065,0.0042,13.0
United States of America,2010.0,en,0.0,5.0,2.0,1.0,Family,September,14.0,0.031,0.0635,0.004,16.0
United States of America,2010.0,en,100000000.0,5.0,3.0,1.0,Comedy,May,26.0,0.03,0.064,0.0041,2.0
France,2010.0,fr,24000000.0,5.0,3.0,1.0,Drama,March,23.0,0.0216,0.0673,0.0045,21.0
United States of America,2010.0,en,24000000.0,5.0,4.0,1.0,Crime,November,23.0,0.023,0.0669,0.0045,57.0
United States of America,2010.0,en,3000000.0,5.0,2.0,1.0,Horror,October,20.0,0.0227,0.067,0.0045,30.0
"United States of America, United Kingdom, France, Italy",2010.0,en,100000000.0,5.0,3.0,1.0,Action,December,8.0,0.0206,0.0677,0.0046,31.0
United States of America,2010.0,en,30000000.0,5.0,2.0,1.0,Drama,August,4.0,0.0263,0.0657,0.0043,4.0
United States of America,2010.0,en,38000000.0,5.0,3.0,2.0,Drama,December,22.0,0.0254,0.066,0.0044,19.0
"United States of America, France",2010.0,en,30000000.0,5.0,4.0,1.0,Romance,November,18.0,0.0253,0.066,0.0044,20.0
United States of America,2010.0,en,30000000.0,5.0,3.0,1.0,Comedy,May,13.0,0.0258,0.0658,0.0043,5.0
United States of America,2010.0,en,36000000.0,5.0,3.0,1.0,Science Fiction,March,26.0,0.0262,0.0657,0.0043,42.0
United States of America,2010.0,en,20000000.0,5.0,2.0,2.0,Comedy,August,18.0,0.0285,0.0647,0.0042,17.0
United States of America,2010.0,en,28000000.0,5.0,3.0,1.0,Action,January,15.0,0.0283,0.0648,0.0042,27.0
Thailand,2010.0,th,0.0,5.0,3.0,2.0,Action,May,5.0,0.0256,0.0659,0.0043,22.0
South Korea,2010.0,ko,0.0,5.0,4.0,1.0,Romance,June,2.0,0.0217,0.0673,0.0045,46.0
United States of America,2010.0,en,0.0,5.0,4.0,1.0,Mystery,October,16.0,0.027,0.0654,0.0043,5.0
United States of America,2010.0,en,10000000.0,5.0,4.0,1.0,Action,March,15.0,0.0232,0.0668,0.0045,29.0
Colombia,2010.0,es,0.0,5.0,2.0,1.0,Crime,July,23.0,0.0269,0.0654,0.0043,16.0
United States of America,2010.0,en,0.0,5.0,3.0,1.0,Animation,January,25.0,0.0226,0.067,0.0045,6.0
"Canada, United States of America",2010.0,en,48000000.0,5.0,3.0,1.0,Comedy,January,14.0,0.0291,0.0644,0.0042,26.0
"Australia, United States of America",2010.0,en,80000000.0,5.0,4.0,1.0,Animation,July,10.0,0.0211,0.0675,0.0046,51.0
"United Kingdom, United States of America",2010.0,en,20000000.0,5.0,3.0,1.0,Crime,August,31.0,0.0232,0.0668,0.0045,33.0
United States of America,2010.0,en,15000000.0,5.0,2.0,1.0,Drama,June,14.0,0.0237,0.0666,0.0044,9.0
"India, United Arab Emirates, United Kingdom, United States of America",2010.0,en,30000000.0,5.0,3.0,1.0,Drama,November,22.0,0.0228,0.0669,0.0045,49.0
United States of America,2010.0,en,10500000.0,5.0,3.0,2.0,Action,September,1.0,0.0247,0.0662,0.0044,44.0
United States of America,2010.0,en,40000000.0,5.0,4.0,1.0,Adventure,March,12.0,0.0189,0.0682,0.0046,28.0
"France, Spain, United States of America",2010.0,en,1987650.0,5.0,3.0,1.0,Drama,September,24.0,0.0267,0.0655,0.0043,33.0
United States of America,2010.0,en,0.0,5.0,3.0,1.0,Music,September,10.0,0.0267,0.0655,0.0043,14.0
France,2010.0,fr,0.0,5.0,1.0,1.0,Drama,November,10.0,0.0286,0.0647,0.0042,18.0
United States of America,2010.0,en,44000000.0,5.0,2.0,1.0,Drama,July,30.0,0.0337,0.0622,0.0039,27.0
United States of America,2010.0,en,10500000.0,5.0,3.0,2.0,Science Fiction,November,11.0,0.0249,0.0662,0.0044,1.0
Japan,2010.0,ja,0.0,5.0,4.0,1.0,Drama,August,28.0,0.0245,0.0663,0.0044,50.0
"Canada, United States of America, France",2010.0,en,14000000.0,5.0,3.0,1.0,Drama,February,25.0,0.0219,0.0672,0.0045,20.0
United States of America,2010.0,en,55000000.0,5.0,3.0,1.0,Comedy,January,29.0,0.0295,0.0643,0.0041,19.0
United States of America,2010.0,en,0.0,5.0,6.0,1.0,Animation,October,14.0,0.0231,0.0668,0.0045,31.0
Norway,2010.0,no,3500000.0,5.0,2.0,1.0,Fantasy,October,29.0,0.0241,0.0665,0.0044,28.0
France,2010.0,fr,0.0,5.0,1.0,1.0,Drama,January,18.0,0.0258,0.0658,0.0043,16.0
"United States of America, Australia",2010.0,en,20000000.0,5.0,3.0,2.0,Action,January,6.0,0.027,0.0654,0.0043,17.0
"United Kingdom, United States of America",2010.0,en,15000000.0,5.0,3.0,1.0,Drama,March,18.0,0.0279,0.065,0.0042,40.0
United States of America,2010.0,en,100000000.0,5.0,2.0,2.0,Comedy,December,21.0,0.0308,0.0636,0.004,23.0
United States of America,2010.0,en,40000000.0,5.0,3.0,1.0,Action,March,16.0,0.0313,0.0634,0.004,24.0
"Belgium, France, Germany, United Kingdom, United States of America",2010.0,en,45000000.0,5.0,2.0,1.0,Thriller,February,12.0,0.0242,0.0664,0.0044,24.0
"Sweden, United Kingdom, United States of America",2010.0,en,20000000.0,5.0,3.0,1.0,Drama,October,1.0,0.0226,0.067,0.0045,47.0
Japan,2010.0,ja,1350000.0,5.0,2.0,1.0,Horror,November,20.0,0.0262,0.0657,0.0043,25.0
United States of America,2010.0,en,0.0,5.0,2.0,1.0,Horror,October,4.0,0.0216,0.0673,0.0045,47.0
