Symbol,Description (EN),Name (HE),Type (HE),Exchange,Current,High,Low,Open,Previous Close,Timestamp,Previous Close (from last fetch),Change,Change %,usd-ils
ENPH,ENPH,אנפאז אנרג'י,מניה,NASDAQ NMS - GLOBAL MARKET,38.35,38.87,37.53,37.78,37.36,24/09/2025 18:57:56,37.36,0.99,2.65,3.34508462
ETSY,ETSY,אטסי,מניה,NASDAQ NMS - GLOBAL MARKET,63.29,63.78,62.73,63.11,62.64,24/09/2025 18:58:41,62.635,0.655,1.05,3.34508462
ROST,ROST,ROST,מניה,NASDAQ NMS - GLOBAL MARKET,148.925,150.47,146.00,146.03,145.68,24/09/2025 19:00:52,145.68,3.245,2.23,3.34508462
ATVI,ATVI,ATVI,מניה,Unknown,0,0.00,0.00,0.00,0.00,01/01/1970 02:00:00,0,0,0,3.34508462
DOCU,DOCU,DOCU,מניה,NASDAQ NMS - GLOBAL MARKET,84.21,85.84,84.18,85.08,84.82,24/09/2025 19:02:37,84.82,-0.61,-0.72,3.34508462
LCID,LCID,לוסיד,מניה,NASDAQ NMS - GLOBAL MARKET,22.64,23.03,21.91,22.51,22.24,24/09/2025 19:02:39,22.24,0.4,1.8,3.34508462
SUNW,SUNW,סאן וורקס,מניה,Unknown,0,0.00,0.00,0.00,0.00,01/01/1970 02:00:00,0,0,0,3.34508462
AMD,AMD,AMD,מניה,NASDAQ NMS - GLOBAL MARKET,160.21,165.10,159.78,161.48,160.90,24/09/2025 19:04:23,160.9,-0.69,-0.43,3.34508462
NOVA,NOVA,Sunnova Energy International,מניה,"NEW YORK STOCK EXCHANGE, INC.",0.0004,0.00,0.00,0.00,0.00,23/09/2025 03:00:00,0.0003,0.0001,33.33,3.34508462
LI,LI,Li Auto,מניה,HONG KONG EXCHANGES AND CLEARING LTD,25.435,25.80,25.25,25.45,25.03,24/09/2025 19:12:16,25.03,0.405,1.62,3.34508462
EXAS,EXAS,אקסקט סיינסז,מניה,NASDAQ NMS - GLOBAL MARKET,52.0401,52.82,51.75,52.48,52.41,24/09/2025 19:14:03,52.41,-0.3699,-0.71,3.34508462
WPRT,WPRT,Westport Fuel Systems,מניה,TORONTO STOCK EXCHANGE,2.49,2.55,2.41,2.49,2.41,24/09/2025 19:14:39,2.4072,0.0828,3.44,3.34508462
ESLT,ESLT,אלביט מערכות,מניה,TEL AVIV STOCK EXCHANGE,493.99,501.66,492.50,500.60,499.03,24/09/2025 19:16:00,499.03,-5.04,-1.01,3.34508462
WB,WB,ויבו,מניה,HONG KONG EXCHANGES AND CLEARING LTD,12.425,12.57,12.27,12.38,12.02,24/09/2025 19:25:22,12.02,0.405,3.37,3.34508462
EXEL,EXEL,אקסליקסיס,מניה,NASDAQ NMS - GLOBAL MARKET,38.87,39.99,38.56,39.93,39.81,24/09/2025 19:27:10,39.81,-0.94,-2.36,3.34508462
TMO,TMO,TMO,מניה,"NEW YORK STOCK EXCHANGE, INC.",468.85,469.90,462.93,469.90,469.75,24/09/2025 19:55:33,469.75,-0.9,-0.19,3.34508462
SOXX,SOXX,iShares PHLX SOX Semiconductor Sector Index Fund,מניה,Unknown,267.71,270.77,265.61,270.77,269.51,24/09/2025 19:55:59,269.51,-1.8,-0.67,3.34508462
WM,WM,WM,מניה,"NEW YORK STOCK EXCHANGE, INC.",219.65,219.70,216.90,218.23,218.23,24/09/2025 19:57:15,218.23,1.42,0.65,3.34508462
SMAR,SMAR,סמארט שיטס,מניה,"NEW YORK STOCK EXCHANGE, INC.",0,0.00,0.00,0.00,0.00,01/01/1970 02:00:00,0,0,0,3.34508462
SNAP,SNAP,SNAP,מניה,"NEW YORK STOCK EXCHANGE, INC.",8.2101,8.52,8.12,8.52,8.42,24/09/2025 20:03:06,8.42,-0.2099,-2.49,3.34508462
SHPG,SHPG,SHPG,מניה,Unknown,0,0.00,0.00,0.00,0.00,01/01/1970 02:00:00,0,0,0,3.34508462
ALD,ALD,ALD,מניה,Unknown,0,0.00,0.00,0.00,0.00,01/01/1970 02:00:00,0,0,0,3.34508462
ISRS,ISRS,ISRS,מניה,Unknown,0,0.00,0.00,0.00,0.00,01/01/1970 02:00:00,0,0,0,3.34508462
CAMT,CAMT,CAMT,מניה,NASDAQ NMS - GLOBAL MARKET,103.7,106.00,100.77,102.43,105.13,24/09/2025 20:38:48,105.13,-1.43,-1.36,3.34508462
