Symbol,Description (EN),Name (HE),Type (HE),Exchange,Current,High,Low,Open,Previous Close,Timestamp,Previous Close (from last fetch),Change,Change %,usd-ils
ITCI,ITCI,איטסי,מניה,NASDAQ NMS - GLOBAL MARKET,0,0.00,0.00,0.00,0.00,01/01/1970 02:00:00,0,0,0,3.34508462
KLFE,KLFE,קלף,מניה,Unknown,0,0.00,0.00,0.00,0.00,01/01/1970 02:00:00,0,0,0,3.34508462
NBRV,NBRV,נברו,מניה,Unknown,0,0.00,0.00,0.00,0.00,01/01/1970 02:00:00,0,0,0,3.34508462
NGMS,NGMS,נג'מס,מניה,Unknown,0,0.00,0.00,0.00,0.00,01/01/1970 02:00:00,0,0,0,3.34508462
OBLN,OBLN,אובלון,מניה,Unknown,0,0.00,0.00,0.00,0.00,01/01/1970 02:00:00,0,0,0,3.34508462
OBSV,OBSV,אובסבה,מניה,Unknown,0,0.00,0.00,0.00,0.00,01/01/1970 02:00:00,0,0,0,3.34508462
RADA,RADA,רדא,מניה,NASDAQ NMS - GLOBAL MARKET,0,0.00,0.00,0.00,0.00,01/01/1970 02:00:00,0,0,0,3.34508462
SGLB,SGLB,סיגלב,מניה,Unknown,0,0.00,0.00,0.00,0.00,01/01/1970 02:00:00,0,0,0,3.34508462
SPPI,SPPI,ספיפי,מניה,Unknown,0,0.00,0.00,0.00,0.00,01/01/1970 02:00:00,0,0,0,3.34508462
TLGT,TLGT,טלגנט,מניה,Unknown,0,0.00,0.00,0.00,0.00,01/01/1970 02:00:00,0,0,0,3.34508462
TMDI,TMDI,טמדי,מניה,Unknown,0,0.00,0.00,0.00,0.00,01/01/1970 02:00:00,0,0,0,3.34508462
VBLT,VBLT,ויבלט,מניה,Unknown,0,0.00,0.00,0.00,0.00,01/01/1970 02:00:00,0,0,0,3.34508462
SOL,SOL,רניסולה,מניה,"NEW YORK STOCK EXCHANGE, INC.",1.88,1.89,1.87,1.89,1.88,23/09/2025 23:00:00,1.88,0,0,3.34508462
SOLO,SOLO,Electrameccanica Vehicles,מניה,Unknown,0,0.00,0.00,0.00,0.00,01/01/1970 02:00:00,0,0,0,3.34508462
BLUE,BLUE,בלובירד ביו,מניה,NASDAQ NMS - GLOBAL MARKET,0,0.00,0.00,0.00,0.00,01/01/1970 02:00:00,0,0,0,3.34508462
FSR,FSR,פיסקר,מניה,Unknown,0,0.00,0.00,0.00,0.00,01/01/1970 02:00:00,0,0,0,3.34508462
TWTR,TWTR,TWTR,מניה,Unknown,0,0.00,0.00,0.00,0.00,01/01/1970 02:00:00,0,0,0,3.34508462
WISH,WISH,וויש,מניה,Unknown,0,0.00,0.00,0.00,0.00,01/01/1970 02:00:00,0,0,0,3.34508462
XM,XM,Qualtrics,מניה,Unknown,0,0.00,0.00,0.00,0.00,01/01/1970 02:00:00,0,0,0,3.34508462
LULU,LULU,לולולמון,מניה,NASDAQ NMS - GLOBAL MARKET,173.33,176.17,171.58,172.22,173.41,23/09/2025 23:00:00,173.41,-0.08,-0.05,3.34508462
